Name,Team,G,PA,H,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
Babe Ruth,- - -,2503,10616,2873,714,2174,2217,123,19.40%,12.50%,0.348,0.34,0.342,0.474,0.69,0.513,197,-23.4,1347.3,-18.6,168.4,1011327
Barry Bonds,- - -,2986,12606,2935,762,2227,1996,514,20.30%,12.20%,0.309,0.285,0.298,0.444,0.607,0.435,173,30.4,1173.8,67.6,164.4,1109
Willie Mays,- - -,2992,12493,3283,660,2062,1903,338,11.70%,12.20%,0.256,0.299,0.302,0.384,0.557,0.409,154,32.9,837.5,170.1,149.9,1008315
Ty Cobb,- - -,3035,13072,4189,117,2246,1937,892,9.60%,4.10%,0.146,0.378,0.366,0.433,0.512,0.445,165,60.6,1036,-90,149.3,1002378
Honus Wagner,- - -,2792,11739,3415,101,1736,1732,722,8.20%,7.60%,0.139,0.318,0.327,0.391,0.466,0.408,147,56.9,704.7,184.4,138.1,1013485
Hank Aaron,- - -,3298,13940,3771,755,2174,2297,240,10.10%,9.90%,0.25,0.291,0.305,0.374,0.555,0.403,153,24.9,882,-61.2,136.3,1000001
Tris Speaker,- - -,2789,11988,3514,117,1882,1529,432,11.50%,2.30%,0.156,0.35,0.345,0.428,0.5,0.436,157,4.1,815.2,24.4,130.6,1012309
Ted Williams,Red Sox,2292,9791,2654,521,1798,1839,24,20.60%,7.20%,0.289,0.328,0.344,0.482,0.634,0.493,188,-1.6,1064.5,-125.1,130.4,1014040
Rogers Hornsby,- - -,2259,9475,2930,301,1579,1584,135,11.00%,7.20%,0.218,0.365,0.358,0.434,0.577,0.459,173,-1.8,862.1,126.5,130.3,1006030
Stan Musial,Cardinals,3026,12712,3630,475,1949,1951,78,12.60%,5.50%,0.228,0.32,0.331,0.417,0.559,0.435,158,6,901.2,-77.6,126.8,1009405
Eddie Collins,- - -,2826,12037,3315,47,1821,1300,744,12.50%,3.20%,0.096,0.343,0.333,0.424,0.429,0.409,144,42.3,663.4,68.3,120.5,1002451
Lou Gehrig,Yankees,2164,9660,2721,493,1888,1995,102,15.60%,8.20%,0.292,0.332,0.34,0.447,0.632,0.477,173,-27.2,954,-90.7,116.3,1004598
Alex Rodriguez,- - -,2784,12207,3115,696,2021,2086,329,11.00%,18.70%,0.255,0.314,0.295,0.38,0.55,0.395,141,34.9,664.9,64,113,1274
Mickey Mantle,Yankees,2401,9909,2415,536,1677,1509,153,17.50%,17.30%,0.259,0.318,0.298,0.421,0.557,0.428,170,21.8,842.6,-78.1,112.3,1008082
Mel Ott,Giants,2730,11337,2876,511,1859,1860,89,15.10%,7.90%,0.229,0.294,0.304,0.414,0.533,0.43,156,12.5,810.3,-42.2,110.5,1009904
Mike Schmidt,Phillies,2404,10062,2234,548,1506,1595,174,15.00%,18.70%,0.26,0.28,0.267,0.38,0.527,0.395,147,-0.7,538.3,150.7,106.5,1011586
Rickey Henderson,- - -,3081,13346,3055,297,2295,1115,1406,16.40%,12.70%,0.14,0.305,0.279,0.401,0.419,0.372,132,144.4,650.9,-56.1,106.3,194
Frank Robinson,- - -,2808,11743,2943,586,1829,1812,204,12.10%,13.00%,0.243,0.295,0.294,0.389,0.537,0.404,153,15.5,731.6,-131.5,104,1011066
Nap Lajoie,- - -,2480,10460,3242,83,1504,1599,380,4.90%,4.00%,0.128,0.295,0.338,0.38,0.467,0.401,144,-3,543.8,86.3,102.2,1007259
Jimmie Foxx,- - -,2317,9670,2646,534,1751,1922,87,15.00%,13.60%,0.284,0.336,0.325,0.428,0.609,0.46,158,-18.6,761.7,-54.2,101.8,1004285
Joe Morgan,- - -,2649,11329,2517,268,1650,1133,689,16.50%,9.00%,0.156,0.278,0.271,0.392,0.427,0.372,135,79,525.5,14,98.8,1009179
Eddie Mathews,- - -,2391,10101,2315,512,1509,1453,68,14.30%,14.70%,0.238,0.273,0.271,0.376,0.509,0.389,143,3.6,532.7,62.8,96.1,1008236
Carl Yastrzemski,Red Sox,3308,13991,3419,452,1816,1844,168,13.20%,10.00%,0.177,0.29,0.285,0.379,0.462,0.375,130,-6.7,463.3,-0.5,94.8,1014326
Cal Ripken,Orioles,3001,12883,3184,431,1647,1695,36,8.80%,10.10%,0.172,0.277,0.276,0.34,0.447,0.346,112,-11,165.4,310.1,92.5,1010978
Cap Anson,- - -,2523,11319,3418,97,1996,2076,276,8.70%,2.80%,0.112,0.339,0.333,0.393,0.445,0.393,134,-35.3,567.1,64.2,91.2,1000272
Albert Pujols,- - -,2516,10934,2911,605,1701,1876,108,11.30%,10.20%,0.259,0.293,0.307,0.389,0.566,0.399,150,-29.1,658.3,-112.5,90.4,1177
Al Kaline,Tigers,2834,11597,3007,399,1622,1583,137,11.00%,8.80%,0.182,0.296,0.297,0.376,0.48,0.378,134,7.5,459.8,33.6,88.9,1006678
Wade Boggs,- - -,2440,10740,3010,118,1513,1013,24,13.10%,6.90%,0.115,0.344,0.328,0.415,0.443,0.381,132,-12.2,399,105.8,88.3,1001124
Roger Connor,- - -,1997,8837,2467,138,1620,1322,244,11.30%,5.10%,0.169,0.324,0.317,0.397,0.486,0.409,143,-25,553.7,83.5,86.2,1002537
Chipper Jones,Braves,2499,10614,2726,468,1619,1623,150,14.20%,13.30%,0.226,0.313,0.303,0.401,0.529,0.397,141,-4,558.8,-36.9,84.6,97
George Brett,Royals,2707,11625,3154,317,1583,1596,201,9.40%,7.80%,0.183,0.307,0.305,0.369,0.487,0.374,132,1.2,439.6,-10.2,84.6,1001400
George Davis,- - -,2368,10151,2660,73,1539,1437,616,8.60%,4.40%,0.11,0.313,0.295,0.361,0.405,0.366,118,39.8,307.5,230.9,84.6,1003049
Joe DiMaggio,Yankees,1736,7671,2214,361,1390,1537,30,10.30%,4.80%,0.254,0.304,0.325,0.398,0.579,0.439,152,-0.5,529.5,32.3,83.1,1003311
Adrian Beltre,- - -,2765,11451,2989,453,1451,1602,120,7.00%,14.00%,0.195,0.299,0.286,0.339,0.48,0.35,116,-5.4,205.1,227.3,82.6,639
Roberto Clemente,Pirates,2433,10212,3000,240,1416,1305,83,6.10%,12.00%,0.158,0.343,0.317,0.359,0.475,0.365,129,2.4,337.2,84.4,80.6,1002340
Jeff Bagwell,Astros,2150,9431,2314,449,1517,1529,202,14.90%,16.50%,0.244,0.317,0.297,0.408,0.54,0.405,149,6.5,594.6,-82.1,80.2,547
Pete Rose,- - -,3562,15876,4256,160,2165,1314,198,9.90%,7.20%,0.106,0.319,0.303,0.375,0.409,0.354,121,-13.7,354.7,-143,80.2,1011217
Brooks Robinson,Orioles,2896,11782,2848,268,1232,1357,28,7.30%,8.40%,0.133,0.271,0.267,0.322,0.401,0.322,104,0.4,56.1,359.8,80.2,1011055
Dan Brouthers,- - -,1673,7658,2296,106,1523,1296,256,11.00%,3.10%,0.177,0.344,0.342,0.423,0.519,0.436,156,-22.8,638.2,-16.1,79.5,1001486
Charlie Gehringer,Tigers,2323,10237,2839,184,1774,1427,181,11.60%,3.60%,0.16,0.32,0.32,0.404,0.48,0.405,124,-8.1,341,105.1,78.6,1004596
Ken Griffey Jr.,- - -,2671,11304,2781,630,1662,1836,184,11.60%,15.70%,0.254,0.287,0.284,0.37,0.538,0.384,131,-7.3,444.1,-39.6,77.7,327
Bill Dahlen,- - -,2443,10390,2457,84,1589,1233,547,10.20%,7.60%,0.11,0.317,0.272,0.358,0.382,0.357,108,25.9,167.5,274.1,77.5,1002924
Frankie Frisch,- - -,2311,10100,2880,105,1532,1244,419,7.20%,2.70%,0.116,0.318,0.316,0.369,0.432,0.37,112,58.6,223.9,210.1,74.8,1004364
Johnny Bench,Reds,2158,8673,2048,389,1091,1376,68,10.30%,14.70%,0.208,0.273,0.267,0.342,0.476,0.362,125,-1,251.8,161.4,74.8,1000826
Paul Waner,- - -,2549,10762,3152,113,1627,1309,104,10.10%,3.50%,0.14,0.339,0.333,0.404,0.473,0.403,135,15.8,505.4,-78.4,74.7,1013597
Ed Delahanty,- - -,1835,8389,2596,101,1599,1464,455,8.80%,5.30%,0.159,0.344,0.346,0.411,0.505,0.428,144,12,574.2,-53.4,73.7,1003155
Fred Clarke,- - -,2242,9819,2672,67,1619,1015,506,8.90%,5.40%,0.117,0.32,0.312,0.386,0.429,0.39,131,19.7,404.1,-26.1,72.8,1002280
Luke Appling,White Sox,2422,10243,2749,45,1319,1116,179,12.70%,5.20%,0.088,0.326,0.31,0.399,0.398,0.378,115,-14.5,183.5,178.6,72.7,1000284
Reggie Jackson,- - -,2820,11416,2584,563,1551,1702,228,12.00%,22.70%,0.228,0.298,0.262,0.356,0.49,0.374,139,2.9,499.7,-185,72.7,1006308
Arky Vaughan,- - -,1817,7721,2103,96,1173,926,118,12.10%,3.60%,0.136,0.321,0.318,0.406,0.453,0.399,138,19.9,385.4,109.9,72.6,1013377
Rod Carew,- - -,2469,10550,3053,92,1424,1015,353,9.60%,9.70%,0.101,0.359,0.328,0.393,0.429,0.369,132,1.3,380.5,-35.4,72.3,1001942
Frank Thomas,- - -,2322,10075,2468,521,1494,1704,32,16.50%,13.90%,0.254,0.304,0.301,0.419,0.555,0.416,154,-38.2,653,-267.4,72.1,255
Eddie Murray,- - -,3026,12817,3255,504,1627,1917,110,10.40%,11.80%,0.189,0.291,0.287,0.359,0.476,0.365,127,3.4,410.4,-146,72,1009386
Derek Jeter,Yankees,2747,12602,3465,260,1923,1311,358,8.60%,14.60%,0.13,0.35,0.31,0.377,0.44,0.36,119,24.2,332.9,-29.7,71.8,826
Sam Crawford,- - -,2517,10594,2961,97,1391,1525,366,7.20%,4.10%,0.143,0.307,0.309,0.362,0.452,0.387,138,-3.1,443.3,-142.8,71.1,1002748
Ron Santo,- - -,2243,9397,2254,342,1138,1331,35,11.80%,14.30%,0.187,0.292,0.277,0.362,0.464,0.367,126,-5.4,263.2,69.5,70.9,1011447
Billy Hamilton,- - -,1591,7584,2158,40,1690,736,912,15.70%,4.50%,0.088,0.369,0.344,0.455,0.432,0.433,142,85.5,592.3,-49.8,70.3,1005270
Scott Rolen,- - -,2038,8518,2077,316,1211,1287,118,10.60%,16.60%,0.21,0.305,0.281,0.364,0.49,0.368,122,10.7,252.6,182.2,70.1,970
Rafael Palmeiro,- - -,2831,12046,3020,569,1663,1835,97,11.20%,11.20%,0.226,0.283,0.288,0.371,0.515,0.38,130,-11.2,442.8,-145.4,70,1266
Gary Carter,- - -,2295,9019,2092,324,1025,1225,39,9.40%,11.10%,0.176,0.262,0.262,0.335,0.439,0.342,116,-9.1,151.3,222.1,69.4,1002015
Al Simmons,- - -,2215,9515,2927,307,1507,1827,88,6.50%,7.70%,0.201,0.34,0.334,0.38,0.535,0.41,130,-10.4,390.1,-8.2,69.3,1011978
Bobby Grich,- - -,2008,8220,1833,224,1033,864,104,13.20%,15.50%,0.158,0.296,0.266,0.371,0.424,0.361,129,-10.2,254.9,134.1,69.2,1005033
